Hole ID,From,To,Lithology,2nd lithology,comment,Valid_Lith,fine_coarse,Sequence_Strat,,,,,,,,,,,
DHD-2-17,0,7,Sandy Clay,,,Sandy Clay,Fine,,,,,,,,,,,,
DHD-2-17,7,27,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-17,27,31,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-17,31,71,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-17,71,135,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-17,135,186,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-17,186,191,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-17,191,200,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-17,200,201,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-18,0,4,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-18,4,14,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-18,14,20,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-18,20,25,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-18,25,32,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-18,32,38,Sandy Claystone,,,Sandy Claystone,Fine,,,,,,,,,,,,
DHD-2-18,38,40,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-18,40,48,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-18,48,50,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-19,0,12,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-19,12,38,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-19,38,41,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-19,41,44,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-19,44,51,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-20,0,10,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-20,10,14,Sandy Claystone,,,Sandy Claystone,Fine,,,,,,,,,,,,
DHD-2-20,14,26,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-20,26,30,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-20,30,69,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-20,69,100,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-21,0,5,Sandy Clay,,,Sandy Clay,Fine,,,,,,,,,,,,
DHD-2-21,5,15,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-21,15,20,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-21,20,51,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-22,0,6,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-22,6,10,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-22,10,14,Sandstone,,,Sandstone,Coarse,,,,,,,,,,,,
DHD-2-22,14,18.5,Siltstone,,,Siltstone,Fine,,,,,,,,,,,,
DHD-2-22,18.5,35,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-22,35,37,Sandstone,,,Sandstone,Coarse,,,,,,,,,,,,
DHD-2-22,37,42,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-22,42,44,Claystone,,,Claystone,Fine,,,,,,,,,,,,
DHD-2-22,44,75,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-23,0,7.5,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-23,7.5,16,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-23,16,22,Claystone/Shale,,,Claystone,Fine,,,,,,,,,,,,
DHD-2-23,22,33,Sandstone,,,Sandstone,Coarse,,,,,,,,,,,,
DHD-2-23,33,36,Sandy Siltstone,,,Sandy Siltstone,Fine,,,,,,,,,,,,
DHD-2-23,36,40,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-23,40,46,Sandy Siltstone/Shaley,,,Sandy Siltstone,Fine,,,,,,,,,,,,
DHD-2-23,46,62,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-23,62,64,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-23,64,74,Sandstone (clay + silty),,,Sandstone,Coarse,,,,,,,,,,,,
DHD-2-23,74,122,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-15,0,5,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-15,5,14,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-15,14,29,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-15,29,36,Silty Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-15,36,41,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-15,41,46,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-15,46,204,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-16,0,8,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-16,8,28,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-16,28,34,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-16,34,70,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-16,70,150,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-16,150,171,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-16,171,178,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-16,178,182,Sandstone,,,Sandstone,Coarse,,,,,,,,,,,,
DHD-2-16,182,202,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-13,0,3,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-13,3,9,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-13,9,20,Shale/Clay,,,Shale,Fine,,,,,,,,,,,,
DHD-2-13,20,26,Silty Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-13,26,38,Shale/Siltstone,,,Shale,Fine,,,,,,,,,,,,
DHD-2-13,38,44,Sandstone,,,Sandstone,Coarse,,,,,,,,,,,,
DHD-2-13,44,54,Shale/Claystone,,,Shale,Fine,,,,,,,,,,,,
DHD-2-13,54,67,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-13,67,75,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-13,75,79,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-13,79,151,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-13,151,203,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-13,203,204,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-14,0,5,Clay,,,Clay,Fine,,,,,,,,,,,,
DHD-2-14,5,15,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-14,15,21,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-14,21,24,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
DHD-2-14,24,43,Shale,,,Shale,Fine,,,,,,,,,,,,
DHD-2-14,43,51,Clayey Sandstone,,,Clayey Sandstone,Coarse,,,,,,,,,,,,
