LOCATION,"NORTHING - 
STATE PLANE","EASTING - 
STATE PLANE",DATE,TOC ELEV,DTW,GW ELEV
BG-MW01,1643374.0466666666,3260875.86,2020-03-30T00:00:00Z,6104.76,92.97,6011.79
IP-01,1647137.43,3258663.89,2020-04-08T00:00:00Z,6075.21,41.98,6033.2300000000005
IP-02,1647172.99,3258688.68,2020-04-08T00:00:00Z,6074.55,41.28,6033.27
IP-03,1647226.99,3258735.17,2020-04-08T00:00:00Z,6077.59,44.04,6033.55
IP-04,1647122.62,3258699.92,2020-04-08T00:00:00Z,6076.36,42.57,6033.79
IP-05,1647157.61,3258735.49,2020-04-08T00:00:00Z,6075.27,41.73,6033.540000000001
IP-06,1647195.14,3258775.84,2020-04-08T00:00:00Z,6077.74,43.72,6034.0199999999995
IP-07,1647071.81,3258714.64,2020-04-08T00:00:00Z,6076.83,43.41,6033.42
IP-08,1647104.64,3258749.13,2020-04-08T00:00:00Z,6077.35,43.39,6033.96
IP-09,1647139.96,3258780.54,2020-04-08T00:00:00Z,6077.39,43.14,6034.25
IP-10,1647226.74,3258822.67,2020-04-08T00:00:00Z,6077.94,43.41,6034.53
IP-11,1647187.16,3258875.7,2020-04-08T00:00:00Z,6077.25,42.59,6034.66
IP-12,1647156.63,3258924.05,2020-04-08T00:00:00Z,6077.2,42.41,6034.79
IP-13,1647131.13,3258881.41,2020-04-08T00:00:00Z,6077.41,42.72,6034.69
IP-14,1647136.68,3258830.14,2020-04-08T00:00:00Z,6077.41,43.05,6034.36
IP-15,1647087.11,3258847.08,2020-04-08T00:00:00Z,6078.35,43.83,6034.52
IP-16,1647069.68,3258897.08,2020-04-08T00:00:00Z,6078.04,43.34,6034.7
IP-17,1647060.85,3258942.95,2020-04-08T00:00:00Z,6078.99,DRY,NA
IP-18,1647044.72,3258788.11,2020-04-03T00:00:00Z,6077.78,43.28,6034.5
IP-21,1647042.68,3258859.61,2020-04-09T00:00:00Z,6078.85,43.58,6035.27
IP-22,1647022.84,3258852.13,2020-04-03T00:00:00Z,6079.07,43.75,6035.32
IP-23,1646939.38,3258826.89,2020-04-09T00:00:00Z,6078.34,43.45,6034.89
IP-24,1646913.43,3258737.59,2020-04-06T00:00:00Z,6076.62,42.41,6034.21
IP-25,1646967.46,3258714.45,2020-04-09T00:00:00Z,6077.29,43.48,6033.81
IP-26,1647007.04,3258653.29,2020-04-09T00:00:00Z,6076.01,42.82,6033.1900000000005
IP-27,1647061.73,3258626.42,2020-04-09T00:00:00Z,6075.46,42.7,6032.76
IP-28,1647126.88,3258594.88,2020-04-09T00:00:00Z,6073.48,40.82,6032.66
IP-29,1647199.6,3258602.17,2020-04-09T00:00:00Z,6071.31,38.479999999999997,6032.830000000001
IP-30,1647273.21,3258622.6,2020-04-09T00:00:00Z,6069.66,37.33,6032.33
IP-31,1647311.31,3258685.29,2020-04-07T00:00:00Z,6072.44,39.97,6032.469999999999
IP-32,1647298.3,3258762.21,2020-04-07T00:00:00Z,6077.81,44.69,6033.120000000001
IP-33,1647284.98,3258835.18,2020-04-03T00:00:00Z,6077.77,43.51,6034.26
IP-34,1647232.49,3258880.75,2020-04-03T00:00:00Z,6077.35,42.55,6034.8
IP-35,1647195.37,3258935.76,2020-04-03T00:00:00Z,6077.22,42.2,6035.02
IP-36,1647148.76,3258992.41,2020-04-09T00:00:00Z,6075.75,40.92,6034.83
IP-37,1647163.55,3259033.18,2020-04-09T00:00:00Z,6076.42,12.2,6064.22
IP-38,1647123.57,3259045.07,2020-04-09T00:00:00Z,6076.85,41.17,6035.68
IP-39,1647045.27,3259053.56,2020-04-09T00:00:00Z,6079.47,42.74,6036.7300000000005
IP-40,1647117.61,3259004,2020-04-09T00:00:00Z,6077.26,42.24,6035.02
IP-41,1647066.25,3258991.14,2020-04-09T00:00:00Z,6078.96,42.95,6036.01
IP-42,1647124.51,3258923.29,2020-04-09T00:00:00Z,6077.36,42.76,6034.5999999999995
IP-43,1647166.58,3258837.43,2020-04-03T00:00:00Z,6076.83,42.46,6034.37
IP-44,1646932.26,3259080.85,2020-04-09T00:00:00Z,6079.02,42.14,6036.88
IP-45,1646868.53,3258917.61,2020-04-09T00:00:00Z,6080.23,44.04,6036.19
IP-46,1646798.72,3258656.13,2020-04-06T00:00:00Z,6078.49,44.57,6033.92
IP-47,1646800.82,3258573.21,2020-04-10T00:00:00Z,6079.87,47.09,6032.78
IP-48,1646747.1,3258619.06,2020-04-06T00:00:00Z,6078.93,45.28,6033.6500000000005
IP-49,1646665.32,3259983.08,2020-04-07T00:00:00Z,6078.87,50.57,6028.3
IP-50,1646629.68,3260053.77,NA,6075.78,PLUGGED,NA
IP-51,1646690.79,3260091.4,2020-04-07T00:00:00Z,6077.34,49.69,6027.6500000000005
IP-52,1646717.16,3260031.35,2020-04-07T00:00:00Z,6080.26,52.12,6028.14
IP-53,1646044.95,3259591.26,2020-04-10T00:00:00Z,6083.72,DRY,NA
IP-54,1646130.19,3259612.7,2020-04-10T00:00:00Z,6083.21,53.66,6029.55
IP-55,1646170.61,3259515.77,2020-04-10T00:00:00Z,6082.63,51.79,6030.84
IP-56,1646065.41,3259520.77,2020-04-10T00:00:00Z,6082.92,52.95,6029.97
MW-1,1646122.17,3259548.74,2020-04-03T00:00:00Z,6086.17,56.21,6029.96
MW-10,1646675.3433333333,3260034.5700000003,2020-04-02T00:00:00Z,6080.84,52.83,6028.01
MW-11,1647525.0833333333,3257997.59,2020-04-01T00:00:00Z,6060.62,44.85,6015.7699999999995
MW-12,1646854.0433333335,3257945.72,2020-04-01T00:00:00Z,6081.46,60.49,6020.97
MW-13,1646691.5366666666,3260498.466666667,2020-03-30T00:00:00Z,6064.39,64,6000.39
MW-14,1647368.03,3258784.76,2020-03-31T00:00:00Z,6078.14,42.45,6035.6900000000005
MW-15,1646852.68,3259180.45,2020-04-02T00:00:00Z,6083.1,48.26,6034.84
MW-2,1646789.6133333333,3258620.16,2020-04-02T00:00:00Z,6080.36,47.19,6033.17
MW-3,1647169.18,3258820.066666667,2020-04-03T00:00:00Z,6078.9,44.96,6033.94
MW-4,1647737.08,3260020.66,2020-04-01T00:00:00Z,6074.76,45.31,6029.45
MW-5,1647984.88,3258493.48,2020-03-31T00:00:00Z,6052.41,30.35,6022.0599999999995
MW-6,1646153.59,3258620.16,2020-04-02T00:00:00Z,6089.78,61.97,6027.8099999999995
MW-7,1645317.75,3259297.64,2020-03-31T00:00:00Z,6063.89,32.25,6031.64
MW-8,1646081.6,3260017.33,2020-03-30T00:00:00Z,6091.43,63.33,6028.1
MW-9,1648612.0466666666,3258281.8866666667,2020-04-02T00:00:00Z,6020.96,22.91,5998.05
