Well ID,Well Elevation,Northing  ,Easting ,DTG 3/9/2015,DTG 3/22/2016,DTG 5/3/2016,DTG 6/20/2016,TDW 3/9/2015* ,TDW 3/22/2016,TDW 5/3/2016,TDW 6/20/2016
MW-1 ,6086.17,1646122.17,3259548.74,57.16,56.36,56.8,56.79,N/A ,63.75,63.71,63.71
MW-2 ,6081.07,1646789.52,3258620.29,49.12,47.51,48.09,48.09,N/A ,62.11,62.15,62.15
MW-3 ,6079.49,1647168.94,3258820.16,44.98,44.49,44.58,44.58,N/A ,53.43,53.5,53.5
MW-4 ,6074.76,1647737.08,3260020.66,46.61,45.05,NM ,NM ,N/A ,66.09,NM ,NM 
MW-5 ,6052.41,1647984.88,3258493.48,28.8,26.65,NM ,NM ,N/A ,48.63,NM ,NM 
MW-6 ,6089.78,1646153.59,3258620.16,63.4,62.39,NM ,NM ,N/A ,86.18,NM ,NM 
MW-7 ,6063.89,1645317.75,3259297.64,35.02,32.97,NM ,NM ,N/A ,64.87,NM ,NM 
MW-8 ,6091.43,1646081.6,3260017.33,63.95,63.49,NM ,NM ,N/A ,69.49,NM ,NM 
MW-9 ,6020.96,1648612.08,3258281.99,22.2,21.73,NM ,NM ,N/A ,29.85,NM ,NM 
MW-10 ,6080.84,1646675.32,3260034.45,53.92,52.68,52.97,52.95,N/A ,61.15,61.19,61.19
MW-11 ,6060.62,1647525.12,3257997.63,48.58,46.81,NM ,NM ,N/A ,68.59,NM ,NM 
MW-12 ,6081.46,1646854.1,3257945.79,61.4,50.42,NM ,NM ,N/A ,79.62,NM ,NM 
MW-13 ,6064.63,1646690.87,3260498.39,66.2,64.29,NM ,NM ,N/A ,79.48,NM ,NM 
MW-14 ,6078.56,1647423.35,3258787.26,50.41,46.67,46.71,46.5,N/A ,58.15,58.27,58.27
MW-15 ,6081.32,1646751.45,3259195.95,55.1,53.85,NM ,NM ,N/A ,63.11,NM ,NM 
